# Species	Genes	Alg.-Conn.	Arkhipov1_protein.faa	Arkhipov2_protein.faa	Arkhipov3_protein.faa	Arkhipov4_protein.faa	Arkhipov5_protein.faa
4	4	0.104	CDI75998.1	XP_013436348.1	*	XP_013337688.1	XP_013351877.1
4	4	0.0902	CDI86342.1	XP_013439905.1	XP_013249359.1	XP_013333401.1	*
4	4	0.128	*	XP_013436439.1	XP_013249114.1	XP_013338492.1	XP_013353581.1
4	4	0.0955	*	XP_013436335.1	XP_013250862.1	XP_013337601.1	XP_013353074.1
4	4	0.0743	*	XP_013435873.1	XP_013249177.1	XP_013336906.1	XP_013351012.1
4	4	0.163	CDI74539.1	XP_013437371.1	XP_013250812.1	*	XP_013350703.1
5	5	0.122	CDI81708.1	XP_013441076.1	XP_013253286.1	XP_013336768.1	XP_013354513.1
4	4	0.112	*	XP_013433539.1	XP_013247569.1	XP_013334782.1	XP_013352616.1
3	4	0.131	CDI88052.1	*	XP_013248059.1,XP_013248268.1	XP_013336719.1	*
5	5	0.0525	CDI74368.1	XP_013432797.1	XP_013248860.1	XP_013337638.1	XP_013353508.1
4	4	0.201	*	XP_013437956.1	XP_013253155.1	XP_013337857.1	XP_013355784.1
4	4	0.0845	CDI74624.1	*	XP_013251204.1	XP_013337077.1	XP_037878205.1
5	5	0.0718	CDI81645.1	XP_013439769.1	XP_013252612.1	XP_013334135.1	XP_013352759.1
4	4	0.166	CDI75210.1	*	XP_013249497.1	XP_013334045.1	XP_013350157.1
5	5	0.0397	CDI84922.1	XP_013438614.1	XP_013252095.1	XP_013334255.1	XP_013350252.1
5	5	0.171	CDI74775.1	XP_013436046.1	XP_013252796.1	XP_013338081.1	XP_013355976.1
4	4	0.114	CDI74894.1	XP_013434916.1	XP_013247256.1	XP_013334293.1	*
4	4	0.181	*	XP_013433029.1	XP_013248679.1	XP_013338286.1	XP_013351956.1
4	4	0.11	*	XP_013438262.1	XP_013252912.1	XP_013338262.1	XP_013349442.1
5	5	0.0295	CDI75602.1	XP_013438600.1	XP_013251405.1	XP_013335790.1	XP_013353793.1
4	4	0.102	CDI79120.1	XP_013435175.1	*	XP_013338246.1	XP_013354316.1
4	4	0.119	CDI79486.1	*	XP_013252477.1	XP_013333361.1	XP_013354194.1
4	4	0.123	*	XP_013438381.1	XP_013249829.1	XP_013337899.1	XP_013349814.1
4	4	0.1	*	XP_013438937.1	XP_013251843.1	XP_013336737.1	XP_013352159.1
2	4	0.247	CDI74849.1	*	*	*	XP_013351129.1,XP_013355552.1,XP_013357788.1
4	4	0.129	CDI87525.1	XP_013440912.1	XP_013251874.1	XP_013334369.1	*
5	5	0.121	CDI82774.1	XP_013436773.1	XP_013250168.1	XP_013333795.1	XP_037878672.1
5	5	0.0374	CDI84628.1	XP_013432897.1	XP_013246798.1	XP_013336676.1	XP_013354460.1
3	4	0.105	*	XP_013435013.1	XP_013246927.1,XP_013249196.1	XP_013337905.1	*
4	4	0.151	*	XP_013440489.1	XP_013249995.1	XP_013337226.1	XP_013350198.1
4	4	0.0932	CDI79002.1	XP_013440842.1	XP_013247134.1	XP_013335851.1	*
4	4	0.0795	CDI75990.1	XP_013434504.1	XP_013252032.1	XP_013333076.1	*
4	4	0.0661	*	XP_013433367.1	XP_013247702.1	XP_013337030.1	XP_013353064.1
5	5	0.0792	CDI80858.1	XP_013433460.1	XP_013247879.1	XP_013336952.1	XP_013352294.1
4	4	0.131	*	XP_013439471.1	XP_013251752.1	XP_013338406.1	XP_013351284.1
3	4	0.114	*	XP_013439458.1	XP_013251588.1,XP_013248158.1	XP_013336195.1	*
4	4	0.0595	*	XP_013433333.1	XP_013252888.1	XP_013337614.1	XP_013351808.1
5	5	0.0541	CDI87092.1	XP_013440699.1	XP_013247915.1	XP_013333180.1	XP_013356978.1
4	4	0.243	*	XP_013433863.1	XP_013250596.1	XP_013333003.1	XP_013357883.1
5	5	0.0561	CDI85903.1	XP_013436334.1	XP_013250863.1	XP_013337602.1	XP_013352626.1
3	4	0.187	CDI73938.1,CDI85128.1	XP_013437809.1	XP_013250624.1	*	*
2	4	0.141	CDI75992.1,CDI74246.1	XP_013440331.1,XP_013440317.1	*	*	*
4	4	0.132	CDI83933.1	XP_013438878.1	XP_013251552.1	XP_013332895.1	*
5	5	0.0773	CDI74649.1	XP_013434793.1	XP_013252965.1	XP_013337375.1	XP_013353069.1
5	5	0.0599	CDI85829.1	XP_013434037.1	XP_013251216.1	XP_013333909.1	XP_013349509.1
5	5	0.112	CDI75193.1	XP_013436082.1	XP_013250287.1	XP_013335470.1	XP_037878594.1
5	5	0.043	CDI86109.1	XP_013438259.1	XP_013252930.1	XP_013333440.1	XP_013350249.1
4	4	0.117	CDI84420.1	*	XP_013249011.1	XP_013334611.1	XP_013355153.1
4	4	0.0947	CDI75428.1	XP_013439853.1	XP_013252088.1	XP_013336247.1	*
4	4	0.124	*	XP_013440533.1	XP_013252155.1	XP_013338356.1	XP_013350528.1
4	4	0.192	CDI73750.1	*	XP_013251837.1	XP_013333834.1	XP_013357801.1
5	5	0.0667	CDI87122.1	XP_013438622.1	XP_013251253.1	XP_013334264.1	XP_013357419.1
4	4	0.0557	*	XP_013434794.1	XP_013251841.1	XP_013335542.1	XP_013349638.1
4	4	0.129	CDI74742.1	XP_013440852.1	XP_013251676.1	*	XP_013352484.1
4	4	0.123	CDI86170.1	XP_013433290.1	XP_013252382.1	*	XP_013349705.1
4	4	0.174	CDI74270.1	*	XP_013249403.1	XP_013337270.1	XP_013350854.1
4	5	0.107	*	XP_013433779.1	XP_013250822.1	XP_013337423.1	XP_013356734.1,XP_013351226.1
4	4	0.0518	*	XP_013436315.1	XP_013250530.1	XP_013334020.1	XP_013352955.1
4	4	0.0714	CDI75103.1	*	XP_013251645.1	XP_013334552.1	XP_013355899.1
4	4	0.105	CDI87566.1	XP_013439432.1	XP_013252724.1	*	XP_013350193.1
5	5	0.0729	CDI75939.1	XP_013437454.1	XP_013249633.1	XP_013334592.1	XP_013351777.1
5	5	0.0256	CDI85439.1	XP_013440887.1	XP_013250372.1	XP_013334431.1	XP_013350718.1
3	4	0.132	CDI73972.1	*	*	XP_013336260.1,XP_013336198.1	XP_013351095.1
4	4	0.0974	CDI73978.1	XP_013437309.1	*	XP_013335772.1	XP_037878771.1
4	4	0.115	CDI75032.1	*	XP_013250477.1	XP_013333217.1	XP_013357938.1
5	5	0.0971	CDI74741.1	XP_013437436.1	XP_013246716.1	XP_013334807.1	XP_037878920.1
5	5	0.113	CDI87221.1	XP_013436790.1	XP_013246862.1	XP_013338188.1	XP_013350841.1
5	5	0.1	CDI85551.1	XP_013437138.1	XP_013247658.1	XP_013336449.1	XP_013351423.1
4	4	0.0707	CDI87213.1	XP_013438626.1	XP_013249080.1	XP_013338131.1	*
4	4	0.0962	*	XP_013434591.1	XP_013251726.1	XP_013335098.1	XP_013352890.1
3	4	0.122	CDI84346.1	XP_013432876.1,XP_013434553.1	XP_013246711.1	*	*
3	4	0.111	*	XP_013437475.1,XP_013437474.1	XP_013252882.1	XP_013332812.1	*
4	4	0.0947	*	XP_013437409.1	XP_013250448.1	XP_013338105.1	XP_013353472.1
4	4	0.127	CDI87019.1	XP_013434876.1	XP_013247651.1	XP_013335724.1	*
4	4	0.0655	CDI86571.1	XP_013435699.1	XP_013247730.1	*	XP_013353199.1
4	4	0.0994	CDI86497.1	*	XP_013248699.1	XP_013333238.1	XP_013351847.1
4	4	0.105	CDI76236.1	*	XP_013247902.1	XP_013332888.1	XP_013357029.1
5	5	0.165	CDI79416.1	XP_013437605.1	XP_013247824.1	XP_013333722.1	XP_037878695.1
4	4	0.0411	*	XP_013433993.1	XP_013248572.1	XP_013333798.1	XP_013351843.1
5	5	0.0972	CDI74633.1	XP_013436121.1	XP_013249375.1	XP_013333768.1	XP_013357127.1
4	4	0.0439	CDI82513.1	XP_013436058.1	XP_013252627.1	XP_013335561.1	*
4	4	0.14	*	XP_013434222.1	XP_013247187.1	XP_013337586.1	XP_013351545.1
4	4	0.0843	CDI77997.1	*	XP_013251597.1	XP_013334102.1	XP_013351350.1
5	5	0.0389	CDI86276.1	XP_013436033.1	XP_013250222.1	XP_013336030.1	XP_013350983.1
5	5	0.126	CDI74773.1	XP_013436026.1	XP_013252790.1	XP_013337458.1	XP_013357604.1
5	5	0.12	CDI87838.1	XP_013440206.1	XP_013249336.1	XP_013334082.1	XP_013350919.1
5	5	0.0642	CDI80962.1	XP_013435216.1	XP_013252828.1	XP_013335837.1	XP_037878262.1
4	4	0.109	*	XP_013435718.1	XP_013250674.1	XP_013333214.1	XP_013353008.1
4	4	0.0823	CDI84946.1	XP_013435660.1	*	XP_013336015.1	XP_013352095.1
3	4	0.134	*	XP_013433547.1,XP_013436228.1	XP_013250069.1	XP_013332716.1	*
4	4	0.14	CDI81120.1	XP_013434862.1	XP_013246750.1	XP_013336726.1	*
5	5	0.0763	CDI77705.1	XP_013438269.1	XP_013249978.1	XP_013334311.1	XP_037878572.1
4	4	0.185	*	XP_013439839.1	XP_013247993.1	XP_013334500.1	XP_013352918.1
4	4	0.106	*	XP_013435506.1	XP_013251733.1	XP_013334085.1	XP_013352654.1
5	5	0.105	CDI82012.1	XP_013437112.1	XP_013248816.1	XP_013334015.1	XP_013349597.1
4	4	0.0804	CDI87389.1	XP_013440471.1	XP_013249577.1	XP_013332663.1	*
5	5	0.0623	CDI86210.1	XP_013437936.1	XP_013249472.1	XP_013333719.1	XP_013355947.1
5	5	0.0895	CDI86201.1	XP_013439221.1	XP_013248327.1	XP_013338353.1	XP_013353943.1
4	5	0.102	*	XP_013440619.1,XP_013433844.1	XP_013246685.1	XP_013338522.1	XP_013349986.1
4	4	0.0686	*	XP_013434572.1	XP_013250188.1	XP_013335757.1	XP_013353255.1
4	4	0.138	CDI74282.1	XP_013433990.1	XP_013246663.1	*	XP_013350910.1
5	5	0.102	CDI87996.1	XP_013438899.1	XP_013251704.1	XP_013333700.1	XP_013352640.1
4	4	0.127	CDI87717.1	XP_013439023.1	*	XP_013335603.1	XP_037878307.1
4	4	0.139	CDI86947.1	*	XP_013252473.1	XP_013335583.1	XP_013351325.1
5	6	0.121	CDI74792.1	XP_013433793.1	XP_013249968.1	XP_013336394.1	XP_013353722.1,XP_013355435.1
5	7	0.106	CDI86450.1,CDI85581.1	XP_013438952.1,XP_013434073.1	XP_013248009.1	XP_013335441.1	XP_013352496.1
5	5	0.0429	CDI86030.1	XP_013434096.1	XP_013249583.1	XP_013337427.1	XP_013352588.1
5	5	0.0927	CDI85854.1	XP_013435530.1	XP_013246494.1	XP_013333780.1	XP_013355032.1
5	5	0.117	CDI82519.1	XP_013435058.1	XP_013249466.1	XP_013332592.1	XP_013351698.1
5	5	0.0681	CDI86555.1	XP_013435294.1	XP_013247389.1	XP_013337792.1	XP_013354225.1
5	5	0.0834	CDI86722.1	XP_013433803.1	XP_013251402.1	XP_013335787.1	XP_013351959.1
5	5	0.0667	CDI87761.1	XP_013435644.1	XP_013252175.1	XP_013337159.1	XP_013358001.1
5	5	0.0639	CDI73956.1	XP_013437858.1	XP_013251542.1	XP_013334695.1	XP_013357075.1
5	5	0.0508	CDI86962.1	XP_013434048.1	XP_013250744.1	XP_013337717.1	XP_037878568.1
5	5	0.128	CDI75045.1	XP_013440026.1	XP_013253342.1	XP_013334416.1	XP_037878253.1
5	5	0.034	CDI73766.1	XP_013440725.1	XP_013252412.1	XP_013336767.1	XP_013352482.1
5	5	0.085	CDI86711.1	XP_013435080.1	XP_013249457.1	XP_013332580.1	XP_013351704.1
5	5	0.0949	CDI75098.1	XP_013432523.1	XP_013248579.1	XP_013337065.1	XP_013354904.1
5	5	0.116	CDI87138.1	XP_013436470.1	XP_013252985.1	XP_013333919.1	XP_013354907.1
5	5	0.0854	CDI78653.1	XP_013437761.1	XP_013251170.1	XP_013333560.1	XP_013353357.1
5	5	0.155	CDI87055.1	XP_013432799.1	XP_013251631.1	XP_013337640.1	XP_037878077.1
5	5	0.135	CDI75256.1	XP_013436652.1	XP_013248663.1	XP_013333598.1	XP_013350339.1
5	5	0.0988	CDI74740.1	XP_013440132.1	XP_013247887.1	XP_013336126.1	XP_013350274.1
5	5	0.129	CDI75512.1	XP_013433286.1	XP_013252958.1	XP_013336232.1	XP_013349553.1
5	5	0.119	CDI75015.1	XP_013439308.1	XP_013250439.1	XP_013337167.1	XP_013350699.1
4	5	0.104	CDI75020.1	XP_013436432.1,XP_013437563.1	XP_013253160.1	XP_013332849.1	*
5	5	0.0388	CDI83001.1	XP_013437137.1	XP_013247659.1	XP_013336450.1	XP_037878543.1
5	5	0.0534	CDI76754.1	XP_013433177.1	XP_013251278.1	XP_013335669.1	XP_037877977.1
5	5	0.0507	CDI77595.1	XP_013433686.1	XP_013250319.1	XP_013335683.1	XP_013352946.1
5	5	0.0711	CDI86819.1	XP_013439358.1	XP_013252680.1	XP_013332603.1	XP_013355846.1
5	5	0.159	CDI76193.1	XP_013437231.1	XP_013252851.1	XP_013335069.1	XP_013355003.1
5	5	0.152	CDI74629.1	XP_013436507.1	XP_013251207.1	XP_013337081.1	XP_013353623.1
5	5	0.0305	CDI87398.1	XP_013433329.1	XP_013247844.1	XP_013337779.1	XP_013350828.1
5	5	0.0761	CDI87333.1	XP_013436473.1	XP_013253354.1	XP_013334427.1	XP_013354456.1
5	5	0.152	CDI74167.1	XP_013433562.1	XP_013246504.1	XP_013335358.1	XP_037878614.1
5	5	0.0765	CDI75960.1	XP_013435020.1	XP_013251391.1	XP_013334469.1	XP_013358135.1
5	6	0.236	CDI85302.1	XP_013434871.1	XP_013253259.1	XP_013335007.1	XP_013352710.1,XP_013353514.1
5	5	0.0892	CDI83456.1	XP_013434049.1	XP_013250743.1	XP_013337718.1	XP_013350560.1
5	5	0.0533	CDI86027.1	XP_013433157.1	XP_013246896.1	XP_013336544.1	XP_013356895.1
5	5	0.198	CDI75253.1	XP_013432740.1	XP_013251437.1	XP_013333815.1	XP_013353871.1
5	5	0.111	CDI74121.1	XP_013432560.1	XP_013246567.1	XP_013333398.1	XP_013351251.1
5	5	0.0776	CDI85183.1	XP_013434091.1	XP_013251353.1	XP_013336908.1	XP_013352041.1
5	5	0.0559	CDI85819.1	XP_013434326.1	XP_013246760.1	XP_013337322.1	XP_013357889.1
5	5	0.186	CDI76389.1	XP_013437498.1	XP_013248653.1	XP_013336630.1	XP_013353712.1
5	5	0.062	CDI77066.1	XP_013440748.1	XP_013247555.1	XP_013337187.1	XP_013357171.1
5	5	0.0548	CDI74020.1	XP_013434137.1	XP_013249674.1	XP_013337761.1	XP_013352865.1
5	5	0.0632	CDI75924.1	XP_013437966.1	XP_013251861.1	XP_013335540.1	XP_013354064.1
5	5	0.0814	CDI87371.1	XP_013436449.1	XP_013247505.1	XP_013333711.1	XP_013356543.1
5	5	0.134	CDI87230.1	XP_013433341.1	XP_013251693.1	XP_013337834.1	XP_037878851.1
5	5	0.0375	CDI73994.1	XP_013436163.1	XP_013250836.1	XP_013333896.1	XP_013357709.1
5	5	0.192	CDI85384.1	XP_013436975.1	XP_013251473.1	XP_013332597.1	XP_013355715.1
5	5	0.045	CDI85270.1	XP_013440932.1	XP_013253170.1	XP_013337657.1	XP_013350741.1
5	5	0.12	CDI81894.1	XP_013433154.1	XP_013252567.1	XP_013338398.1	XP_013352755.1
5	5	0.0585	CDI84635.1	XP_013436631.1	XP_013250561.1	XP_013333669.1	XP_037878013.1
5	5	0.0594	CDI86108.1	XP_013438260.1	XP_013252929.1	XP_013333439.1	XP_013352348.1
5	5	0.144	CDI84969.1	XP_013433326.1	XP_013248673.1	XP_013335488.1	XP_013350927.1
5	5	0.157	CDI86005.1	XP_013435716.1	XP_013250675.1	XP_013333215.1	XP_013353009.1
5	5	0.107	CDI84616.1	XP_013434757.1	XP_013249657.1	XP_013337877.1	XP_013350564.1
5	5	0.103	CDI77133.1	XP_013439425.1	XP_013248645.1	XP_013338278.1	XP_013349994.1
5	5	0.0605	CDI77643.1	XP_013438565.1	XP_013250004.1	XP_013332816.1	XP_037878193.1
3	3	0.24	*	XP_013437603.1	XP_013247822.1	XP_013333724.1	*
3	3	0.176	*	XP_013434251.1	XP_013253159.1	XP_013333218.1	*
3	3	0.243	*	*	XP_013250430.1	XP_013333901.1	XP_013350124.1
4	4	0.177	CDI78677.1	*	XP_013249398.1	XP_013332923.1	XP_037878740.1
3	3	0.173	*	XP_013436205.1	XP_013248099.1	XP_013337352.1	*
4	4	0.243	*	XP_013439780.1	XP_013249839.1	XP_013334841.1	XP_013357049.1
3	3	0.29	*	XP_013439888.1	XP_013251684.1	XP_013333223.1	*
4	4	0.165	*	XP_013434223.1	XP_013247188.1	XP_013337585.1	XP_013355183.1
3	3	0.233	CDI86010.1	*	XP_013249986.1	XP_013334303.1	*
3	3	0.312	CDI81416.1	XP_013438214.1	*	*	XP_013354427.1
3	3	0.251	*	XP_013435451.1	XP_013253067.1	XP_013334793.1	*
3	3	0.289	*	*	XP_013249816.1	XP_013337888.1	XP_013353089.1
3	3	0.328	CDI81454.1	*	*	XP_013337046.1	XP_013354677.1
3	3	0.204	*	XP_013439070.1	XP_013253068.1	XP_013334206.1	*
3	4	0.202	*	*	XP_013249817.1	XP_013337889.1	XP_037878624.1,XP_013353091.1
3	3	0.22	*	XP_013435769.1	XP_013251763.1	XP_013334994.1	*
3	3	0.323	CDI87414.1	XP_013434233.1	*	*	XP_013353019.1
3	3	0.305	*	XP_013437199.1	XP_013248236.1	XP_013337478.1	*
3	3	0.245	CDI85392.1	XP_013437271.1	XP_013249773.1	*	*
3	3	0.3	*	XP_013435266.1	XP_013247289.1	*	XP_013349687.1
3	3	0.285	*	XP_013432831.1	XP_013251722.1	XP_013333846.1	*
3	3	0.284	*	XP_013437123.1	XP_013250898.1	XP_013338030.1	*
3	3	0.322	*	XP_013435206.1	XP_013247192.1	XP_013338020.1	*
3	3	0.314	*	XP_013434954.1	XP_013253275.1	XP_013333809.1	*
3	3	0.328	*	XP_013435557.1	XP_013253104.1	XP_013337339.1	*
3	3	0.211	*	XP_013439538.1	XP_013253150.1	XP_013335268.1	*
3	3	0.328	*	XP_013437238.1	XP_013253035.1	XP_013333684.1	*
3	3	0.307	CDI87394.1	*	*	XP_013336536.1	XP_013354441.1
3	3	0.25	*	XP_013434061.1	XP_013252570.1	XP_013335611.1	*
3	3	0.331	*	XP_013439364.1	XP_013253203.1	XP_013337863.1	*
4	4	0.108	CDI75304.1	XP_013434422.1	XP_013250718.1	XP_013336779.1	*
3	3	0.24	*	XP_013438247.1	XP_013252121.1	XP_013336663.1	*
3	3	0.328	CDI75016.1	XP_013438252.1	XP_013250174.1	*	*
3	3	0.195	*	XP_013439371.1	XP_013248273.1	XP_013337729.1	*
3	3	0.0916	CDI86643.1	XP_013433222.1	XP_013250679.1	*	*
4	4	0.179	CDI74592.1	XP_013433820.1	XP_013247270.1	XP_013337744.1	*
4	4	0.0385	*	XP_013437340.1	XP_013246799.1	XP_013338078.1	XP_013357363.1
4	4	0.183	CDI87646.1	*	XP_013248231.1	XP_013338364.1	XP_013351548.1
2	3	0.33	*	*	XP_013246730.1	*	XP_013351388.1,XP_013356095.1
3	3	0.294	CDI86957.1	*	XP_013250250.1	XP_013335254.1	*
3	3	0.125	*	XP_013436833.1	*	XP_013338426.1	XP_013354607.1
3	3	0.319	CDI76171.1	*	XP_013250648.1	XP_013336923.1	*
3	3	0.218	*	XP_013439480.1	XP_013248970.1	XP_013337754.1	*
3	3	0.289	CDI83782.1	*	XP_013246696.1	*	XP_013351884.1
4	4	0.233	*	XP_013439621.1	XP_013248512.1	XP_013335221.1	XP_013351581.1
4	4	0.221	*	XP_013440621.1	XP_013246687.1	XP_013337553.1	XP_037878870.1
3	3	0.275	*	*	XP_013246673.1	XP_013333207.1	XP_013357145.1
4	4	0.144	*	XP_013436162.1	XP_013246670.1	XP_013337645.1	XP_013352728.1
3	3	0.309	*	*	XP_013246560.1	XP_013336846.1	XP_013351552.1
3	3	0.325	*	XP_013440988.1	XP_013246538.1	*	XP_013352082.1
3	3	0.313	*	XP_013433807.1	XP_013248820.1	XP_013337848.1	*
3	3	0.32	*	XP_013438988.1	*	XP_013338488.1	XP_013355593.1
3	3	0.105	*	XP_013441014.1	XP_013251635.1	XP_013333767.1	*
3	3	0.238	CDI87363.1	*	XP_013250531.1	XP_013334019.1	*
3	3	0.257	*	XP_013435533.1	XP_013251668.1	XP_013333778.1	*
4	4	0.108	CDI74908.1	*	XP_013247503.1	XP_013333709.1	XP_013356545.1
3	3	0.243	*	XP_013440684.1	XP_013252374.1	XP_013332866.1	*
4	4	0.0933	*	XP_013439513.1	XP_013250484.1	XP_013337624.1	XP_013350667.1
3	3	0.238	CDI74273.1	XP_013433107.1	XP_013250458.1	*	*
3	3	0.136	*	XP_013439628.1	XP_013247009.1	*	XP_037879165.1
3	3	0.333	CDI86181.1	*	XP_013247184.1	*	XP_013351716.1
3	3	0.328	*	XP_013437565.1	XP_013253016.1	XP_013338326.1	*
3	3	0.134	*	XP_013433488.1	XP_013251899.1	XP_013335398.1	*
4	4	0.223	*	XP_013436324.1	XP_013250710.1	XP_013338049.1	XP_013353328.1
3	3	0.25	*	XP_013437789.1	XP_013249918.1	XP_013337910.1	*
2	3	0.328	*	*	*	XP_013338072.1	XP_013354599.1,XP_037879109.1
4	4	0.233	*	XP_013437574.1	XP_013246800.1	XP_013338079.1	XP_013357364.1
3	3	0.315	*	XP_013433334.1	XP_013252889.1	XP_013337613.1	*
3	3	0.282	*	XP_013439318.1	XP_013249731.1	*	XP_013356585.1
3	3	0.32	CDI78332.1	*	XP_013250872.1	*	XP_013349583.1
3	3	0.169	*	XP_013433002.1	XP_013252973.1	XP_013335459.1	*
3	3	0.117	*	XP_013438016.1	XP_013252296.1	XP_013333749.1	*
4	4	0.218	CDI80943.1	XP_013440420.1	XP_013248691.1	*	XP_013354846.1
3	3	0.211	*	XP_013434951.1	XP_013253272.1	XP_013333806.1	*
3	3	0.32	CDI77760.1	XP_013435171.1	*	*	XP_013354745.1
3	3	0.332	*	XP_013437160.1	XP_013247003.1	*	XP_013354234.1
3	3	0.12	CDI86951.1	*	XP_013250777.1	XP_013333525.1	*
3	3	0.208	*	*	XP_013246978.1	XP_013333071.1	XP_037878552.1
4	4	0.086	CDI75150.1	XP_013439705.1	XP_013250098.1	XP_013336851.1	*
3	3	0.323	CDI79799.1	*	XP_013250145.1	XP_013337740.1	*
2	3	0.323	*	*	*	XP_013338179.1	XP_013351985.1,XP_013354023.1
3	3	0.321	*	*	XP_013250847.1	XP_013338193.1	XP_013357483.1
3	3	0.322	*	XP_013436108.1	XP_013252763.1	XP_013334897.1	*
3	3	0.329	*	*	XP_013253071.1	XP_013338234.1	XP_013357004.1
3	3	0.141	*	*	XP_013252361.1	XP_013338259.1	XP_013351896.1
3	3	0.326	*	XP_013439495.1	*	XP_013334857.1	XP_013350636.1
3	3	0.213	*	*	XP_013246867.1	XP_013334562.1	XP_013357020.1
3	3	0.306	CDI84476.1	*	*	XP_013338264.1	XP_013353617.1
3	3	0.23	*	XP_013434487.1	XP_013247635.1	XP_013337722.1	*
3	3	0.289	*	XP_013433546.1	XP_013246775.1	XP_013332891.1	*
3	3	0.316	*	XP_013440501.1	XP_013249550.1	XP_013333995.1	*
4	4	0.201	CDI85185.1	*	XP_013249511.1	XP_013337317.1	XP_013351073.1
3	3	0.269	*	XP_013441060.1	XP_013249539.1	XP_013335303.1	*
4	4	0.123	CDI75748.1	XP_013437062.1	XP_013253087.1	XP_013336014.1	*
3	3	0.303	*	*	XP_013251989.1	XP_013335127.1	XP_013351827.1
2	3	0.324	CDI86517.1	*	*	*	XP_013352526.1,XP_013353539.1
3	3	0.294	CDI86138.1	XP_013439542.1	XP_013253146.1	*	*
3	4	0.236	*	*	XP_013249361.1	XP_013335087.1	XP_013355130.1,XP_013352255.1
3	3	0.286	CDI87450.1	*	XP_013253194.1	XP_013333046.1	*
3	3	0.325	*	XP_013437899.1	XP_013249363.1	XP_013335640.1	*
4	4	0.175	CDI75814.1	XP_013440629.1	*	XP_013334892.1	XP_037878264.1
3	3	0.319	CDI75803.1	*	XP_013253234.1	XP_013334202.1	*
3	3	0.237	*	XP_013441081.1	XP_013249552.1	XP_013336270.1	*
3	3	0.224	*	XP_013434678.1	XP_013249292.1	XP_013333430.1	*
